"Data Provider","The Paleobiology Database"
"Data Source","The Paleobiology Database"
"Data License","Creative Commons CC-BY"
"License URL","http://creativecommons.org/licenses/by/4.0/"
"Documentation URL","http://paleobiodb.org/data1.2/occs/list_doc.html"
"Data URL","http://paleobiodb.org/data1.2/occs/list.csv?datainfo&rowcount&base_name=Crinoidea&show=loc,paleoloc"
"Access Time","Sun 2017-10-22 23:02:44 GMT"
"Title","PBDB Data Service"
"Parameters:"
"","base_name","Crinoidea"
"","timerule","major"
"","taxon_status","all"
"","show","loc,paleoloc"
"Elapsed Time","0.712"
"Records Found","11872"
"Records Returned","11872"
"Records:"
"occurrence_no","record_type","reid_no","flags","collection_no","identified_name","identified_rank","identified_no","difference","accepted_name","accepted_rank","accepted_no","early_interval","late_interval","max_ma","min_ma","reference_no","cc","state","county","latlng_basis","latlng_precision","geogscale","geogcomments","paleomodel","paleolng","paleolat","geoplate"
"153","occ","","","59","Agaricocrinus americanus","species","31688","species not entered","Agaricocrinus","genus","31688","Chadian","Arundian","345.3","342.8","11","US","Kentucky","Clinton","based on political unit","seconds","","","gp_mid","-51.86","-32.96","101"
"154","occ","","","59","Agaricocrinus crassus","species","31688","species not entered","Agaricocrinus","genus","31688","Chadian","Arundian","345.3","342.8","11","US","Kentucky","Clinton","based on political unit","seconds","","","gp_mid","-51.86","-32.96","101"
"155","occ","","","60","Agaricocrinus americanus","species","31688","species not entered","Agaricocrinus","genus","31688","Chadian","Arundian","345.3","342.8","11","US","Kentucky","Cumberland","based on political unit","minutes","","Roadcuts on SR61, north and south of junction with SR449, Frogue quadrangle, Carter Coord: sec.12, C-50","gp_mid","-51.94","-32.77","101"
"156","occ","","","60","Agaricocrinus crassus","species","31688","species not entered","Agaricocrinus","genus","31688","Chadian","Arundian","345.3","342.8","11","US","Kentucky","Cumberland","based on political unit","minutes","","Roadcuts on SR61, north and south of junction with SR449, Frogue quadrangle, Carter Coord: sec.12, C-50","gp_mid","-51.94","-32.77","101"
"157","occ","","","61","Agaricocrinus americanus","species","31688","species not entered","Agaricocrinus","genus","31688","Chadian","Arundian","345.3","342.8","11","US","Tennessee","Pickett","based on nearby landmark","seconds","","West shores of Cove Creek and Obey River.","gp_mid","-52.23","-32.88","101"
"158","occ","","","61","Agaricocrinus crassus","species","31688","species not entered","Agaricocrinus","genus","31688","Chadian","Arundian","345.3","342.8","11","US","Tennessee","Pickett","based on nearby landmark","seconds","","West shores of Cove Creek and Obey River.","gp_mid","-52.23","-32.88","101"
"159","occ","","","62","Agaricocrinus americanus","species","31688","species not entered","Agaricocrinus","genus","31688","Chadian","Arundian","345.3","342.8","11","US","Kentucky","Russell","based on nearby landmark","seconds","","SE shore of Wolf Creek, Lake Cumberland, where Wolf Creek enters Lake Cumberland main body, Cave Springs Ridge, Jamestown Quadrangle.  Carter Coord: 2500' WEL, 2700' SNL, sec. 20, F-54.","gp_mid","-51.58","-32.97","101"
"160","occ","","","62","Agaricocrinus crassus","species","31688","species not entered","Agaricocrinus","genus","31688","Chadian","Arundian","345.3","342.8","11","US","Kentucky","Russell","based on nearby landmark","seconds","","SE shore of Wolf Creek, Lake Cumberland, where Wolf Creek enters Lake Cumberland main body, Cave Springs Ridge, Jamestown Quadrangle.  Carter Coord: 2500' WEL, 2700' SNL, sec. 20, F-54.","gp_mid","-51.58","-32.97","101"
"161","occ","","","63","Agaricocrinus americanus","species","31688","species not entered","Agaricocrinus","genus","31688","Chadian","Arundian","345.3","342.8","11","US","Kentucky","Russell","based on nearby landmark","seconds","","Shore of Lake Cumberland main body, immediately SE of mouth of Wolf Creek, Cave Springs Ridge, Jamestown Quad.  Carter Coord: 2000' WEL, 2800' NSL, sec.20, F-54","gp_mid","-51.58","-32.97","101"
"162","occ","","","63","Agaricocrinus crassus","species","31688","species not entered","Agaricocrinus","genus","31688","Chadian","Arundian","345.3","342.8","11","US","Kentucky","Russell","based on nearby landmark","seconds","","Shore of Lake Cumberland main body, immediately SE of mouth of Wolf Creek, Cave Springs Ridge, Jamestown Quad.  Carter Coord: 2000' WEL, 2800' NSL, sec.20, F-54","gp_mid","-51.58","-32.97","101"
"163","occ","","","64","Agaricocrinus americanus","species","31688","species not entered","Agaricocrinus","genus","31688","Chadian","Arundian","345.3","342.8","11","US","Kentucky","Clinton","based on nearby landmark","seconds","","North shore of Gross Creek, tributary to Indian Creek, Lake Cumberland, Cumberland City quad., Carter Coord: 1000' WEL, 500' SNL, sec.19 D-53","gp_mid","-51.80","-32.98","101"
"164","occ","","","64","Agaricocrinus crassus","species","31688","species not entered","Agaricocrinus","genus","31688","Chadian","Arundian","345.3","342.8","11","US","Kentucky","Clinton","based on nearby landmark","seconds","","North shore of Gross Creek, tributary to Indian Creek, Lake Cumberland, Cumberland City quad., Carter Coord: 1000' WEL, 500' SNL, sec.19 D-53","gp_mid","-51.80","-32.98","101"
"165","occ","","","65","Agaricocrinus americanus","species","31688","species not entered","Agaricocrinus","genus","31688","Chadian","Arundian","345.3","342.8","11","US","Kentucky","Clinton","based on nearby landmark","seconds","","SW corner of cul de sac on east side of Indian creek arm, Lake Cumberland, Cumberland City quad.,carter Coord: 1600' EWL, 2800' SNL, sec.12, D-53","gp_mid","-51.80","-32.97","101"
"166","occ","","","65","Agaricocrinus crassus","species","31688","species not entered","Agaricocrinus","genus","31688","Chadian","Arundian","345.3","342.8","11","US","Kentucky","Clinton","based on nearby landmark","seconds","","SW corner of cul de sac on east side of Indian creek arm, Lake Cumberland, Cumberland City quad.,carter Coord: 1600' EWL, 2800' SNL, sec.12, D-53","gp_mid","-51.80","-32.97","101"
"167","occ","","","66","Agaricocrinus americanus","species","31688","species not entered","Agaricocrinus","genus","31688","Chadian","Arundian","345.3","342.8","11","US","Kentucky","Russell","based on nearby landmark","seconds","","Shores of Lake Cumberland, 0.15 km  NE of end of road to Pleasant Hill Dock, west side of Caney Creek, Pleasant Hill Ridge, Jamestown quad, carter coord: 1600' WEL, 2700' NSL, sec.11, F-54.","gp_mid","-51.74","-32.90","101"
"168","occ","","","66","Agaricocrinus crassus","species","31688","species not entered","Agaricocrinus","genus","31688","Chadian","Arundian","345.3","342.8","11","US","Kentucky","Russell","based on nearby landmark","seconds","","Shores of Lake Cumberland, 0.15 km  NE of end of road to Pleasant Hill Dock, west side of Caney Creek, Pleasant Hill Ridge, Jamestown quad, carter coord: 1600' WEL, 2700' NSL, sec.11, F-54.","gp_mid","-51.74","-32.90","101"
"169","occ","","","67","Agaricocrinus americanus","species","31688","species not entered","Agaricocrinus","genus","31688","Chadian","Arundian","345.3","342.8","11","US","Kentucky","Russell","based on nearby landmark","seconds","","Shore of Lake Cumberland, main body, at Bugwood Narrows, Jamestown Quad., carter Coord: 1400' WEL, SL, sec.21, F-54","gp_mid","-51.74","-32.90","101"
"171","occ","","","68","Agaricocrinus americanus","species","31688","species not entered","Agaricocrinus","genus","31688","Chadian","Arundian","345.3","342.8","11","US","Kentucky","Wayne","based on nearby landmark","seconds","","East side mouth of Harmon Creek. Lake Cumberland, CArter Coord: 2300' FEL, x 400' FSL, Sec.23, F-55","gp_mid","-51.59","-32.99","101"
"172","occ","","","68","Agaricocrinus crassus","species","31688","species not entered","Agaricocrinus","genus","31688","Chadian","Arundian","345.3","342.8","11","US","Kentucky","Wayne","based on nearby landmark","seconds","","East side mouth of Harmon Creek. Lake Cumberland, CArter Coord: 2300' FEL, x 400' FSL, Sec.23, F-55","gp_mid","-51.59","-32.99","101"
"173","occ","","","69","Agaricocrinus americanus","species","31688","species not entered","Agaricocrinus","genus","31688","Chadian","Arundian","345.3","342.8","11","US","Kentucky","Clinton","based on political unit","seconds","","Roadcut along SR1730. CArter coord: 1200' FEL, x 900' FSL, sec.7, E-53","gp_mid","-51.86","-32.96","101"
"174","occ","","","69","Agaricocrinus crassus","species","31688","species not entered","Agaricocrinus","genus","31688","Chadian","Arundian","345.3","342.8","11","US","Kentucky","Clinton","based on political unit","seconds","","Roadcut along SR1730. CArter coord: 1200' FEL, x 900' FSL, sec.7, E-53","gp_mid","-51.86","-32.96","101"
"175","occ","","","70","Agaricocrinus americanus","species","31688","species not entered","Agaricocrinus","genus","31688","Chadian","Arundian","345.3","342.8","11","US","Kentucky","Russell","based on nearby landmark","seconds","","east shore of lily creek arm of lake cumberland, jamestown quad., carter coord: 1300' WEL, 800' SNL, sec.8 F-54","gp_mid","-51.59","-32.94","101"
"176","occ","","","70","Agaricocrinus crassus","species","31688","species not entered","Agaricocrinus","genus","31688","Chadian","Arundian","345.3","342.8","11","US","Kentucky","Russell","based on nearby landmark","seconds","","east shore of lily creek arm of lake cumberland, jamestown quad., carter coord: 1300' WEL, 800' SNL, sec.8 F-54","gp_mid","-51.59","-32.94","101"
"177","occ","","","71","Agaricocrinus americanus","species","31688","species not entered","Agaricocrinus","genus","31688","Chadian","Arundian","345.3","342.8","11","US","Kentucky","Cumberland","based on nearby landmark","seconds","","roadside exposure along east side of sr-1424, 2.4 km NW of junction w/ sr-953, Blacks FErry Quad.,carter coord: 1800' WWL, 300' NSL, sec.8, C-49","gp_mid","-52.10","-32.77","101"
"179","occ","","","72","Agaricocrinus americanus","species","31688","species not entered","Agaricocrinus","genus","31688","Chadian","Arundian","345.3","342.8","11","US","Kentucky","Barren","based on nearby landmark","seconds","","This creek is now flooded by Barren Lake, but we believe the original locality is at or near the confluence of Peters Creek with the Barren River.  Carter coord: 1400' SNL, 1000' WEL, sec. 15, E-42","gp_mid","-52.20","-32.35","101"
"180","occ","","","72","Agaricocrinus crassus","species","31688","species not entered","Agaricocrinus","genus","31688","Chadian","Arundian","345.3","342.8","11","US","Kentucky","Barren","based on nearby landmark","seconds","","This creek is now flooded by Barren Lake, but we believe the original locality is at or near the confluence of Peters Creek with the Barren River.  Carter coord: 1400' SNL, 1000' WEL, sec. 15, E-42","gp_mid","-52.20","-32.35","101"
"199","occ","","","75","Crinoidea indet.","class","31590","","Crinoidea","class","31590","Desmoinesian","","313.8","305.9","12","US","Kansas","Labette","based on nearby landmark","seconds","","","gp_mid","-30.93","-6.60","101"
"209","occ","","","76","Crinoidea indet.","class","31590","","Crinoidea","class","31590","Desmoinesian","","313.8","305.9","12","US","Kansas","Bourbon","based on nearby landmark","seconds","","","gp_mid","-30.17","-6.36","101"
"219","occ","","","78","Crinoidea indet.","class","31590","","Crinoidea","class","31590","Desmoinesian","","313.8","305.9","12","US","Oklahoma","Okmulgee","estimated from map","seconds","","~16 km S of Bixby, SW 1/4 NW 1/4 sec.7 T15N R14E","gp_mid","-32.08","-7.56","101"
"242","occ","","","80","Crinoidea indet.","class","31590","","Crinoidea","class","31590","Desmoinesian","","313.8","305.9","12","US","Illinois","Fulton","based on nearby landmark","seconds","","road ditch on S side of gravel road 2.5 km E of Brereton SE 1/4 NW 1/4 sec.1 T7N R4E","gp_mid","-25.60","-5.86","101"
"257","occ","","","82","Crinoidea indet.","class","31590","","Crinoidea","class","31590","Desmoinesian","","313.8","305.9","12","US","Kansas","Bourbon","estimated from map","seconds","","stream bank east of main portion of Jubilee quarry, SW of Ft. Scott, se1/4 sw1/4 sec.16 t26s r24e","gp_mid","-30.25","-6.37","101"
"266","occ","","","83","Crinoidea indet.","class","31590","","Crinoidea","class","31590","Desmoinesian","","313.8","305.9","12","US","Kansas","Labette","estimated from map","seconds","","north side of US 59-K-96, southwest off Labette sw1/4 sw1/4 sec.3 t33s r20e","gp_mid","-30.85","-6.68","101"
"274","occ","","","84","Crinoidea indet.","class","31590","","Crinoidea","class","31590","Desmoinesian","","313.8","305.9","12","US","Kansas","Labette","estimated from map","seconds","","stream level on east side of gravel road across from school sw1/4 sw1/4 sec.12 t34s r19e","gp_mid","-30.95","-6.73","101"
"278","occ","","","85","Crinoidea indet.","class","31590","","Crinoidea","class","31590","Desmoinesian","","313.8","305.9","12","US","Kansas","Bourbon","estimated from map","seconds","","west side of gravel rd E of Lake Ft. Scott se1/4 nw1/4 sec. 14 t26s r24e","gp_mid","-30.22","-6.39","101"
"288","occ","","","86","Crinoidea indet.","class","31590","","Crinoidea","class","31590","Desmoinesian","","313.8","305.9","12","US","Oklahoma","Nowata","estimated from map","seconds","","west side of US28 S of Childers se1/4 se1/4 sec.1 t26n r16e","gp_mid","-31.32","-6.90","101"
"294","occ","","","87","Crinoidea indet.","class","31590","","Crinoidea","class","31590","Desmoinesian","","313.8","305.9","12","US","Oklahoma","Nowata","estimated from map","seconds","","west side of gravel road S of US60 9.6 km E of Nowata nw1/4 nw1/4 sec.32 t26n r17e","gp_mid","-31.34","-6.97","101"
"299","occ","","","88","Crinoidea indet.","class","31590","","Crinoidea","class","31590","Desmoinesian","","313.8","305.9","12","US","Oklahoma","Tulsa","estimated from map","seconds","","south side of Rt51 NW of Broken Arrow se1/4 sw1/4 sec.34 t19n r14e","gp_mid","-31.87","-7.35","101"
"306","occ","","","89","Crinoidea indet.","class","31590","","Crinoidea","class","31590","Desmoinesian","","313.8","305.9","12","US","Oklahoma","Okmulgee","estimated from map","seconds","","both sides of SH56 3.2 km W of Okmulgee se1/4 sw1/4 sec.10 t13n r12e","gp_mid","-32.28","-7.64","101"
"330","occ","","","91","Crinoidea indet.","class","31590","","Crinoidea","class","31590","Desmoinesian","","313.8","305.9","12","US","Illinois","Knox","based on nearby landmark","seconds","","3.8 km NE of Farmington nw1/4 nw1/4 sec.25 t9n r4e","gp_mid","-25.55","-5.79","101"
"338","occ","","","92","Crinoidea indet.","class","31590","","Crinoidea","class","31590","Desmoinesian","","313.8","305.9","12","US","Iowa","Guthrie","based on political unit","seconds","","center of West line nw1/4 sec.3 t78n r30w","gp_mid","-27.95","-3.21","101"
"354","occ","","","94","Crinoidea indet.","class","31590","","Crinoidea","class","31590","Desmoinesian","","313.8","305.9","12","US","Kansas","Neosho","estimated from map","seconds","","E side gravel rd 2.4 km SSE St. Paul ne1/4 se1/4 sec.25 t29s r20e","gp_mid","-30.66","-6.45","101"
"363","occ","","","95","Crinoidea indet.","class","31590","","Crinoidea","class","31590","Desmoinesian","","313.8","305.9","12","US","Oklahoma","Tulsa","estimated from map","seconds","","NNW intersection of 31st St. and Garnett St. se1/4 se1/4 sec.18 t19n r14e","gp_mid","-31.89","-7.29","101"
"376","occ","","","96","Crinoidea indet.","class","31590","","Crinoidea","class","31590","Desmoinesian","","313.8","305.9","12","US","Oklahoma","Nowata","estimated from map","seconds","","ESE of Lenapah sw1/4 se1/4 sec.10 t27n r16e","gp_mid","-31.30","-6.82","101"
"395","occ","","","98","Crinoidea indet.","class","31590","","Crinoidea","class","31590","Desmoinesian","","313.8","305.9","12","US","Oklahoma","Tulsa","estimated from map","seconds","","south side of stream E of Garnett Rd. NE of intersection of Garnett rd. and 31st St. 2.4 km N of SH51 se1/4 sw1/4 sw1/4 sec.19 t19n r14e","gp_mid","-31.89","-7.30","101"
"401","occ","","","99","Crinoidea indet.","class","31590","","Crinoidea","class","31590","Desmoinesian","","313.8","305.9","12","US","Illinois","Knox","based on nearby landmark","seconds","","N bank of Little Haw Creek beneath Rt97 bridge, sw/4 se1/4 sec.18 t10n r3e","gp_mid","-25.61","-5.59","101"
"413","occ","","","100","Crinoidea indet.","class","31590","","Crinoidea","class","31590","Desmoinesian","","313.8","305.9","12","US","Kansas","Labette","estimated from map","seconds","","S of gravel rd. W of bridge over Neosho River nw1/4 nw1/4 sec.2 t34s r21e","gp_mid","-30.81","-6.81","101"
"417","occ","","","101","Crinoidea indet.","class","31590","","Crinoidea","class","31590","Desmoinesian","","313.8","305.9","12","US","Kansas","Crawford","estimated from map","seconds","","strip mine reclamation area E of US69 N of gravel rd. sw1/4 sec.9 t28s r25e","gp_mid","-30.26","-6.55","101"
"433","occ","","","105","Crinoidea indet.","class","31590","","Crinoidea","class","31590","Desmoinesian","","313.8","305.9","12","US","Iowa","Appanoose","based on political unit","seconds","","NW corner of abandoned quarry SE of entrance to Appanoose Co. dump, sw1/4 nw1/4 sec.27 t68n r18w","gp_mid","-27.41","-4.66","101"
"436","occ","","","106","Crinoidea indet.","class","31590","","Crinoidea","class","31590","Desmoinesian","","313.8","305.9","12","US","Missouri","Putnam","based on political unit","seconds","","road ditch near center east line ne1/4 ne1/4 sec.25 t65n r18w","gp_mid","-27.63","-4.83","101"
"446","occ","","","107","Crinoidea indet.","class","31590","","Crinoidea","class","31590","Desmoinesian","","313.8","305.9","12","US","Kansas","Linn","estimated from map","seconds","","north bank of river due W of US69 bridge at trading post se1/4 nw1/4 sec.5 t21s r25e","gp_mid","-29.93","-6.03","101"
"472","occ","","","109","Crinoidea indet.","class","31590","","Crinoidea","class","31590","Carboniferous","","358.9","298.9","12","US","Kansas","Labette","estimated from map","seconds","","stream bank SW of Mound Valley near center ne1/4 ne1/4 ne1/4 sec.10 t33s r18e","gp_mid","-45.89","-20.23","101"
"479","occ","","","110","Crinoidea indet.","class","31590","","Crinoidea","class","31590","Desmoinesian","","313.8","305.9","12","US","Kansas","Bourbon","estimated from map","seconds","","1.6 km W of Mapleton near center of ne1/4 se1/4 sec.29 t23s r23e","gp_mid","-30.20","-6.13","101"
"490","occ","","","111","Crinoidea indet.","class","31590","","Crinoidea","class","31590","Desmoinesian","","313.8","305.9","12","US","Oklahoma","Tulsa","estimated from map","seconds","","2 km S of intersection of US75 and SH67, S of Glenpool nw1/4 nw1/4 sec.23 t17n r12e","gp_mid","-32.09","-7.38","101"
"516","occ","","","112","Crinoidea indet.","class","31590","","Crinoidea","class","31590","Desmoinesian","","313.8","305.9","12","US","Oklahoma","Hughes","estimated from map","seconds","","series of nw-se trending gullies 4.8 km nw of Holdenville, near center of sec.35 t8n r8e","gp_mid","-32.84","-7.86","101"
"533","occ","","","113","Crinoidea indet.","class","31590","","Crinoidea","class","31590","Carboniferous","","358.9","298.9","12","US","Kansas","Labette","estimated from map","seconds","","gully sw of Mound Valley, sw1/4 ne1/4 ne1/4 sec.10 t33s r18e","gp_mid","-45.89","-20.23","101"
"549","occ","","","114","Crinoidea indet.","class","31590","","Crinoidea","class","31590","Carboniferous","","358.9","298.9","12","US","Missouri","Livingston","based on nearby landmark","seconds","","near floor level Midland Brick and Tile Company Quarry in NW corner of pit 7.2 km W of Chillicothe ne1/4 se1/4 sec.18 t57n r24w","gp_mid","-42.76","-19.68","101"
"558","occ","","","115","Crinoidea indet.","class","31590","","Crinoidea","class","31590","Carboniferous","","358.9","298.9","12","US","Missouri","Lafayette","based on nearby landmark","seconds","","north side of US70 Eof exit 37 sign in westbound lane, N of Odessa se1/4 ne1/4 sec.35 t49n r28w","gp_mid","-43.61","-19.96","101"
"574","occ","","","116","Crinoidea indet.","class","31590","","Crinoidea","class","31590","Carboniferous","","358.9","298.9","12","US","Missouri","Carroll","based on political unit","seconds","","stream bank 67m E of rd, nw1/4 sw1/4 sec.5 t55n r23w","gp_mid","-43.08","-20.00","101"
"585","occ","","","117","Crinoidea indet.","class","31590","","Crinoidea","class","31590","Carboniferous","","358.9","298.9","12","US","Oklahoma","Seminole","estimated from map","seconds","","2 km N of Sasakwa se1/4 nw1/4 sec.25 t6n r7e","gp_mid","-48.34","-20.91","101"
"603","occ","","","118","Crinoidea indet.","class","31590","","Crinoidea","class","31590","Missourian","","305.9","303.4","12","US","Missouri","Livingston","based on nearby landmark","seconds","","near top of """"shale hill"""" in western part of quarry pit, 7.2 km W of Chillicothe, ne1/4 se1/4 sec.18 t57n r24w","gp_mid","-25.58","-1.74","101"
"624","occ","","","120","Crinoidea indet.","class","31590","","Crinoidea","class","31590","Missourian","","305.9","303.4","12","US","Kansas","Bourbon","estimated from map","seconds","","W side of SH3 ~1.6 km S of Uniontown se1/4 nw1/4 sec.34 t25s r22e","gp_mid","-27.54","-3.07","101"
"640","occ","","","124","Crinoidea indet.","class","31590","","Crinoidea","class","31590","Missourian","","305.9","303.4","12","US","Kansas","Bourbon","estimated from map","seconds","","S side of secondary rd. ~1.9 km W of Berlin nw1/4 ne1/4 sec.31 t24s r23e","gp_mid","-27.45","-2.83","101"
"668","occ","","","126","Crinoidea indet.","class","31590","","Crinoidea","class","31590","Missourian","","305.9","303.4","12","US","Iowa","Madison","based on nearby landmark","seconds","","W side of old US169 ~0.8 m above bed of unnamed stream at S boundary of Winterset near ctr. of nw1/4 sec.6 t75n r27w","gp_mid","-25.12","-0.23","101"
"680","occ","","","127","Crinoidea indet.","class","31590","","Crinoidea","class","31590","Missourian","","305.9","303.4","12","US","Iowa","Madison","based on nearby landmark","seconds","","S-facing bluff along Middle River SE of Pammel Park ctr. e1/2 nw1/4 sec.22 t75n r28w","gp_mid","-23.91","1.30","101"
"692","occ","","","128","Crinoidea indet.","class","31590","","Crinoidea","class","31590","Missourian","","305.9","303.4","12","US","Iowa","Madison","based on nearby landmark","seconds","","roadcut SE of East Peru on E side paved rd. """"W"""" line e1/2 nw1/4 sec.12 t74n r27w","gp_mid","-25.11","-0.36","101"
"699","occ","","","129","Crinoidea indet.","class","31590","","Crinoidea","class","31590","Missourian","","305.9","303.4","12","US","Missouri","Grundy","based on nearby landmark","seconds","","N side of SH6 4 km W of Trenton nw1/4 se1/4 sec.23 t61n r25w","gp_mid","-25.48","-1.47","101"
"704","occ","","","130","Crinoidea indet.","class","31590","","Crinoidea","class","31590","Missourian","","305.9","303.4","12","US","Missouri","Daviess","based on nearby landmark","seconds","","N side of SH6 0.8 km E of eastern junction of SH6 and SH13 ~3 km E of Gallatin nw1/4 nw1/4 sec.15 t59n r27w","gp_mid","-25.79","-1.48","101"
"717","occ","","","131","Crinoidea indet.","class","31590","","Crinoidea","class","31590","Missourian","","305.9","303.4","12","US","Missouri","Caldwell","based on nearby landmark","seconds","","N side of US36 2 km W of intersection of US36 and Co.Rd.M SW  of Breckenridge s1/2 ne1/4 sec.21 t57n r26w","gp_mid","-25.76","-1.67","101"
"727","occ","","","132","Crinoidea indet.","class","31590","","Crinoidea","class","31590","Missourian","","305.9","303.4","12","US","Kansas","Linn","estimated from map","seconds","","W side of US69 1.3 km N of junction with K135, ctr. E line nw1/4 sec.31 t19s r25e","gp_mid","-27.06","-2.55","101"
"740","occ","","","133","Crinoidea indet.","class","31590","","Crinoidea","class","31590","Missourian","","305.9","303.4","12","US","Iowa","Madison","based on nearby landmark","seconds","","road metal quarry N of Co.Rd. (?) on E side of US169 ~8 km N of courthouse in Winterset se1/4 se1/4 sec.12 t76n r28w","gp_mid","-25.12","-0.23","101"
"747","occ","","","134","Crinoidea indet.","class","31590","","Crinoidea","class","31590","Missourian","","305.9","303.4","12","US","Iowa","Adair","based on nearby landmark","seconds","","E end of abandoned quarry ~0.8 km NE of Howe s1/4 sec.1 t76n r31w","gp_mid","-25.32","-0.03","101"
"753","occ","","","135","Crinoidea indet.","class","31590","","Crinoidea","class","31590","Missourian","","305.9","303.4","12","US","Missouri","Mercer","based on nearby landmark","seconds","","W wall of quarry 3.2 km S of Princeton sw1/4 ne1/4 sec.11 t64n r24w","gp_mid","-25.30","-1.20","101"
"761","occ","","","137","Crinoidea indet.","class","31590","","Crinoidea","class","31590","Missourian","","305.9","303.4","12","US","Kansas","Miami","estimated from map","seconds","","E bank of unnamed stream 5.6 km WNW of New Lancaster nw1/4 ne1/4 sec.19 t18s r24e","gp_mid","-27.08","-2.40","101"
"770","occ","","","138","Crinoidea indet.","class","31590","","Crinoidea","class","31590","Missourian","","305.9","303.4","12","US","Kansas","Neosho","estimated from map","seconds","","nr. type locality Stark Shale N side hwy.59-39 W of bridge over Little Canville Cr. ~3.2 km W of Stark se1/4 se1/4 sec.14 t27s r20e","gp_mid","-27.74","-2.91","101"
"772","occ","","","139","Crinoidea indet.","class","31590","","Crinoidea","class","31590","Missourian","","305.9","303.4","12","US","Kansas","Neosho","estimated from map","seconds","","E side US59 1.1 km N paved rd that leads E to Stark, sw1/4 nw1/4 sec.18 t27s r21e","gp_mid","-27.71","-2.92","101"
"782","occ","","","140","Crinoidea indet.","class","31590","","Crinoidea","class","31590","Missourian","","305.9","303.4","12","US","Kansas","Miami","estimated from map","seconds","","N side gavel rd E of US69 3.2 km N of Jingo sw1/4 se1/4 sec.31 t18s r25e","gp_mid","-27.32","-2.30","101"
"795","occ","","","141","Crinoidea indet.","class","31590","","Crinoidea","class","31590","Missourian","","305.9","303.4","12","US","Kansas","Labette","estimated from map","seconds","","W side of Co.Rd. ~1.6 km SW of Dennis ctr. E line ne1/4 sec.21 t31s r18e","gp_mid","-28.10","-3.12","101"
"807","occ","","","143","Crinoidea indet.","class","31590","","Crinoidea","class","31590","Missourian","","305.9","303.4","12","US","Oklahoma","Washington","estimated from map","seconds","","shale exposed on S side Co.Rd. 1.6 km S and 0.3 km E of Hogshooter nw1/4 ne1/4 sec.6 t25n r14e","gp_mid","-28.72","-3.52","101"
"818","occ","","","144","Crinoidea indet.","class","31590","","Crinoidea","class","31590","Missourian","","305.9","303.4","12","US","Oklahoma","Washington","estimated from map","seconds","","bank of unnamed stream E side US75 nr. Ramona nw1/4 se1/4 sec.16 t24n r13e","gp_mid","-28.83","-3.58","101"
"837","occ","","","146","Crinoidea indet.","class","31590","","Crinoidea","class","31590","Missourian","","305.9","303.4","12","US","Iowa","Madison","based on nearby landmark","seconds","","shale exposed on E side co.rd. 1.6 km S of Pammel Park, sw1/4 nw1/4 sec.22 t75n r28w","gp_mid","-23.91","1.30","101"
"847","occ","","","147","Crinoidea indet.","class","31590","","Crinoidea","class","31590","Missourian","","305.9","303.4","12","US","Kansas","Wyandotte","estimated from map","seconds","","N side of I70 0.5 km W of entrance ramp for 18th st. (Rt. K58) and E of exit ramp for Rt. K32 sw1/4 ne1/4 sec.17 t11s r25e","gp_mid","-26.67","-1.92","101"
"853","occ","","","148","Crinoidea indet.","class","31590","","Crinoidea","class","31590","Missourian","","305.9","303.4","12","US","Illinois","LaSalle","based on nearby landmark","seconds","","W side gravel rd near lower level of quarry, S of Vermilion R., near S limit of Oglesby ne1/4 se1/4 sec.36 t33n r1e","gp_mid","-21.85","-2.00","101"
"868","occ","","","149","Crinoidea indet.","class","31590","","Crinoidea","class","31590","Missourian","","305.9","303.4","12","US","Iowa","Madison","based on nearby landmark","seconds","","bank of unnamed stream W of paved rd. leading S to Pammel Park on Bruett Farm ne1/4 sw1/4 ne1/4 sec.10 t75n r28w","gp_mid","-23.91","1.30","101"
